epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
25,4261.79,1.07809,0.51344,1.05677,0.98963,0.93759,0.96976,0.68776,1.08889,0.44924,1.06646,0.0010496,0.0010496,0.0010496
26,4424.36,1.08109,0.50431,1.05536,0.98314,0.93759,0.96719,0.68205,1.09672,0.44531,1.06144,0.00101,0.00101,0.00101
27,4585.98,1.08204,0.50355,1.05409,0.98048,0.93832,0.96833,0.68901,1.07795,0.44918,1.0599,0.0009704,0.0009704,0.0009704
28,4748.13,1.07123,0.50016,1.05026,0.98369,0.9344,0.96953,0.68916,1.07725,0.44161,1.05222,0.0009308,0.0009308,0.0009308
29,4911.96,1.07381,0.49787,1.04748,0.98267,0.93941,0.96934,0.69234,1.08109,0.43895,1.05532,0.0008912,0.0008912,0.0008912
30,5073.2,1.06375,0.48891,1.04789,0.98757,0.94081,0.97159,0.69537,1.06403,0.43189,1.04713,0.0008516,0.0008516,0.0008516
31,5236.77,1.06052,0.48311,1.04769,0.98891,0.93303,0.96824,0.69334,1.08353,0.42965,1.05181,0.000812,0.000812,0.000812
32,5397.86,1.0525,0.48451,1.03752,0.981,0.94214,0.96948,0.69452,1.07949,0.42744,1.04524,0.0007724,0.0007724,0.0007724
33,5561.29,1.05146,0.4756,1.03998,0.97869,0.94176,0.96789,0.68963,1.0702,0.42408,1.04825,0.0007328,0.0007328,0.0007328
34,5723.08,1.05412,0.47545,1.04238,0.98522,0.94148,0.97086,0.69912,1.0732,0.41501,1.04903,0.0006932,0.0006932,0.0006932
35,5885.9,1.046,0.47362,1.03886,0.97855,0.94761,0.97285,0.70042,1.06033,0.41508,1.04204,0.0006536,0.0006536,0.0006536
36,6050.1,1.03831,0.46337,1.03437,0.98588,0.94442,0.97385,0.7054,1.05531,0.4067,1.04156,0.000614,0.000614,0.000614
37,6212.68,1.0281,0.45671,1.02688,0.98225,0.9508,0.97081,0.70294,1.05553,0.40789,1.03683,0.0005744,0.0005744,0.0005744
38,6376.11,1.03595,0.45882,1.03434,0.98572,0.94372,0.97296,0.70777,1.06148,0.40799,1.03878,0.0005348,0.0005348,0.0005348
39,6537.97,1.03498,0.45005,1.03511,0.98682,0.94579,0.97464,0.70124,1.06053,0.40573,1.04048,0.0004952,0.0004952,0.0004952
40,6700.53,1.02948,0.45024,1.02863,0.9839,0.94638,0.97477,0.70693,1.06304,0.40104,1.0416,0.0004556,0.0004556,0.0004556
41,6861.26,1.01385,0.40952,1.03461,0.98608,0.94169,0.96979,0.70008,1.06885,0.41099,1.04603,0.000416,0.000416,0.000416
42,7019.49,1.01251,0.40263,1.03474,0.98939,0.94077,0.97297,0.70204,1.05431,0.40762,1.03908,0.0003764,0.0003764,0.0003764
43,7177.1,1.00609,0.39954,1.03269,0.98166,0.94897,0.97432,0.70634,1.05928,0.40209,1.04215,0.0003368,0.0003368,0.0003368
44,7333.23,1.00339,0.39494,1.0336,0.98567,0.94351,0.9736,0.70559,1.0564,0.40678,1.03937,0.0002972,0.0002972,0.0002972
45,7490.03,0.99446,0.38989,1.0287,0.98947,0.94158,0.97374,0.70894,1.05209,0.40119,1.03819,0.0002576,0.0002576,0.0002576
46,7648.45,0.98484,0.38476,1.02709,0.99056,0.94396,0.9748,0.70911,1.04906,0.40009,1.035,0.000218,0.000218,0.000218
47,7807.29,0.98398,0.38085,1.02261,0.98674,0.94895,0.97412,0.7112,1.04493,0.39573,1.03233,0.0001784,0.0001784,0.0001784
48,7964.66,0.97956,0.37819,1.01945,0.98526,0.94715,0.97407,0.71065,1.04374,0.39326,1.03243,0.0001388,0.0001388,0.0001388
49,8122.38,0.97158,0.37465,1.01673,0.9821,0.95171,0.97464,0.71004,1.0504,0.39408,1.03352,9.92e-05,9.92e-05,9.92e-05
50,8279.87,0.96909,0.37099,1.01796,0.98399,0.95179,0.97494,0.71023,1.04559,0.39083,1.03209,5.96e-05,5.96e-05,5.96e-05
